Suburb,Male DUW < 5 hrs,Male DUW 5-14 hrs,Male DUW 15-29 hrs,Male DUW > 30 hrs,Female DUW < 5 hrs,Female DUW 5-14 hrs,Female DUW 15-29 hrs,Female DUW > 30 hrs,Bedrooms 0,Bedrooms 1,Bedrooms 2,Bedrooms 3,Bedrooms 4,Bedrooms 5,Bedrooms > 6,Vehicles 0,Vehicles 1,Vehicles 2,Vehicles 3,Vehicles > 4
Ultimo,908,523,89,38,802,611,176,119,171,1029,999,259,57,14,7,1389,951,153,15,7
Chippendale,1110,708,108,38,886,731,172,97,158,737,884,433,209,43,19,1150,1050,225,36,7
Pyrmont,1946,1125,186,69,1382,1421,478,350,53,1215,2557,1055,60,3,3,1406,2623,799,78,19
Surry Hills,5138,3002,433,188,3401,2609,610,366,855,4433,4194,1386,409,110,65,5442,4801,997,87,33
Kings Cross,3201,2052,301,102,2525,1951,512,285,1351,3700,2933,790,130,27,19,4393,3731,638,76,42
Alexandria,1532,1085,168,55,1087,1264,374,203,46,940,1745,822,198,13,11,684,2151,794,113,22
Redfern,2168,1423,251,101,1346,1319,383,283,125,1196,2436,1096,268,50,34,2068,2263,658,97,24
Waterloo,2146,1374,239,95,1544,1441,436,319,240,1462,3508,924,111,13,12,2162,2955,879,93,41
Rosebery,1709,1250,307,161,1149,1451,748,760,50,474,2620,1597,466,131,28,1061,2506,1342,269,102
Botany,1003,850,181,87,612,991,515,461,39,204,917,1275,375,98,28,298,1143,1119,233,96
Mascot,1225,920,199,107,815,1082,554,509,10,373,1529,1238,358,86,24,536,1651,1064,239,82
Paddington,2356,1429,240,109,2086,1856,670,467,387,1210,1891,1802,610,111,29,1427,3099,1239,184,44
Bondi Junction,1672,1004,197,95,1223,1362,618,448,119,736,1687,1417,452,89,20,1178,2211,889,130,36
Bellevue Hill,1548,839,150,62,1076,1190,628,512,17,300,1224,1026,615,341,96,371,1453,1283,327,149
Waverley,1542,1033,194,84,1104,1256,637,499,74,533,1639,927,556,189,34,654,1856,1138,204,62
Woollahra,993,698,140,45,870,982,438,341,45,440,1117,873,391,96,24,546,1462,783,117,52
Bondi,4981,2611,460,158,3876,3389,1289,988,298,2088,5989,2415,915,213,66,2727,5774,2778,413,138
Edgecliff,1054,653,116,48,847,927,382,301,58,590,1326,982,199,71,39,537,1646,838,133,63
Double Bay,663,378,67,34,628,628,261,166,4,163,982,566,159,56,5,337,977,488,72,24
Rose Bay,1319,788,139,59,980,1130,566,419,35,386,1616,983,441,133,50,511,1625,1174,216,71
Vaucluse,1821,1130,215,99,1120,1593,891,757,12,188,1223,1269,1218,536,121,313,1462,1888,574,278
Randwick,4590,3177,648,237,3772,4133,1781,1344,49,1619,6334,2917,1165,356,92,2301,6229,3220,482,139
Kingsford,1913,1299,306,162,1399,1497,811,638,137,635,2085,1709,635,212,65,1552,2323,1192,245,87
Kensington,1647,1006,192,72,1140,1271,503,396,58,580,1783,929,400,112,46,801,1856,975,185,52
Coogee,2811,1856,369,139,2415,2395,1043,742,100,1048,3594,1980,751,193,57,1467,3600,2105,367,94
Pagewood,4137,2926,665,341,2891,3666,2011,1665,131,1025,4412,4017,1693,570,153,2072,5095,3531,803,330
Matraville,2823,2212,580,313,1771,2716,1586,1369,119,648,2550,3344,1610,411,131,1407,3323,2805,773,329
Glebe,2097,1501,293,117,1927,1877,660,460,317,1330,2021,1475,505,128,45,1900,2713,944,146,43
Annandale,1249,1023,206,69,1034,1264,548,372,146,537,1311,1091,328,47,12,532,1789,945,137,40
Rozelle,1120,932,189,68,971,1178,450,355,22,464,1286,1185,256,19,7,375,1750,956,106,33
Leichhardt,2713,2308,477,202,2184,2829,1289,992,111,788,3295,3098,696,100,25,1349,3914,2360,333,102
Balmain,2164,1699,374,104,1733,2199,926,592,143,823,2354,1985,722,122,28,900,3244,1657,255,56
Newtown,2996,2086,398,126,2564,2571,717,447,457,1502,2971,1838,472,82,44,2287,3697,1116,140,51
Erskineville,1271,990,144,34,1052,1015,299,165,32,758,1634,646,104,13,0,714,1801,574,69,18
St Peters,928,830,194,76,681,912,372,296,15,167,1120,1043,250,44,15,474,1321,654,124,48
Haberfield,750,666,216,74,464,743,489,399,0,98,384,1010,608,95,14,234,826,814,211,82
Five Dock,3281,2511,620,231,2236,3300,1752,1409,68,493,4017,3584,1235,305,58,1029,4101,3510,739,288
Drummoyne,1573,1150,267,87,1083,1505,716,569,3,276,1891,1571,527,127,23,424,2016,1582,266,95
Stanmore,1174,908,184,63,991,1112,405,281,49,551,989,1040,328,61,26,628,1549,662,136,37
Petersham,1413,1182,278,118,1116,1458,573,397,91,757,1453,1171,433,93,28,821,2071,905,124,63
Camperdown,1208,901,150,46,958,976,255,178,110,1198,1253,475,106,9,0,813,1771,462,55,19
Hunters Hill,1242,907,228,110,650,948,733,623,15,216,650,964,845,323,89,258,1021,1239,367,185
Gladesville,1695,1468,351,159,1213,1698,976,777,38,566,1622,1701,945,275,57,606,2104,1804,429,189
Ryde,3344,2814,697,326,2020,3028,1930,1700,36,660,2823,3755,1988,525,107,1087,3946,3437,893,426
North Ryde,2007,1790,429,191,1302,1929,1163,933,26,404,1861,2303,1204,271,63,823,2637,1948,481,188
Meadowbank,2707,2273,582,238,1661,2554,1468,1234,61,1052,2886,2569,1081,280,68,1067,3848,2320,502,216
Ermington,1036,835,231,143,620,921,578,623,58,135,529,1620,625,126,34,387,1057,1202,296,151
Rydalmere,702,558,165,77,377,599,416,402,22,109,302,1199,345,52,13,239,735,787,167,95
Telopea,2213,1763,505,267,1379,1964,1290,1221,78,253,1372,2985,1438,346,80,727,2375,2435,643,287
Carlingford,2479,2225,645,302,1473,2203,1624,1551,26,176,829,2956,2328,599,114,392,2332,3088,841,308
Beecroft,1295,1328,415,150,839,1188,978,828,8,30,192,1150,1434,507,104,106,959,1609,521,196
Pennant Hills,2505,2303,629,240,1391,2258,1682,1369,17,209,593,2607,2380,595,97,327,2318,2809,745,258
Epping,3170,2711,820,340,1962,2681,1951,1680,44,206,1764,3223,2490,601,132,727,3469,3148,787,267
Eastwood,3383,2796,777,337,2327,2990,1941,1631,58,476,3544,3243,1942,638,172,1386,4563,3112,692,258
W. Pennant Hills,2129,1815,461,212,1192,1758,1320,1248,7,102,183,1089,2529,906,170,141,1091,2320,906,480
Cherrybrook,2422,2050,550,228,1497,2002,1526,1334,3,61,255,1432,3288,634,77,153,1561,2737,858,406
Campbelltown,7598,6362,1765,990,4590,7255,4683,4770,83,459,2362,12107,6717,1318,324,2210,8667,8194,2675,1274
Ingleburn,1873,1582,438,246,1101,1745,1020,1138,11,92,884,2729,1392,305,90,551,2201,1747,612,320
Minto,2505,2166,590,303,1468,2331,1465,1554,9,66,557,4279,1977,355,106,483,2520,2750,986,503
Narellan,4029,3355,762,345,2023,3681,2489,2159,14,53,188,3192,5934,818,87,217,2489,5259,1523,698
Camden,3284,2999,833,452,1745,3137,2199,2082,38,253,820,3164,3727,929,235,364,2152,3913,1589,1034
North Sydney,1997,1401,247,73,1509,1847,686,394,292,1342,2143,1318,284,67,17,1211,2993,1066,131,35
Milsons Point,958,597,107,40,760,750,322,202,109,808,1056,585,84,28,3,800,1305,460,70,12
