ID,Postcode,District,Suburb,Total Kwh,Solar Units,Average Kwh,Units per Dwelling,Units per Km,Population Density,Solar units per 1000 pop,Dwellings per Km,Male Population,Female Population,Total Population,Dwellings,Median Age,Monthly Mortgage,Median Personal Income,Median Rent,Family Income,Ave Persons per Bedroom,Median Household Income,Average Household Size,Managers,Professionals,Tech or Trade,Community Personal,Clerical or Admin,Salesperson,Machinery Operators,Labourers
1,2007,Central & Inner Metropolitan,Ultimo,6.55,4,1.6375,0.154858691,7.163003089,12734.02874,0.562508789,4625.509245,3644,3467,7111,2583,27,2280,487,460,1555,1.4,1099,2,371,1072,268,373,445,315,56,202
2,2008,Central & Inner Metropolitan,Chippendale,59.33,25,2.3732,0.986582478,29.60889025,7454.334209,3.972036861,3001.157115,3394,2900,6294,2534,29,2200,698,454,1977,1.3,1459,2.1,426,1461,291,350,520,340,51,137
3,2009,Central & Inner Metropolitan,Pyrmont,21.61,7,3.087142857,0.139553429,7.506058461,12458.98475,0.602461485,5378.627035,5912,5707,11619,5016,32,2778,1095,575,2525,1.3,2184,2.1,1432,2710,486,564,959,446,88,218
4,2010,Central & Inner Metropolitan,Surry Hills,133.04,47,2.830638298,0.401881146,21.62072646,11685.77264,1.850175176,5379.880764,14794,10609,25403,11695,34,2500,1038,450,2545,1.2,1796,1.8,2805,6674,1109,1405,1835,1150,165,535
5,2011,Central & Inner Metropolitan,Kings Cross,33.26,11,3.023636364,0.120680197,7.536672765,12358.77303,0.609823706,6245.161114,9753,8285,18038,9115,36,2200,1105,400,2494,1.2,1523,1.6,1998,4432,833,1023,1364,736,97,313
6,2015,Central & Inner Metropolitan,Alexandria,118.72,44,2.698181818,1.148825065,10.46010184,2003.822692,5.220073556,910.5043195,4374,4055,8429,3830,33,2500,1135,475,2469,1.2,2053,2,1051,2175,480,468,834,397,119,139
7,2016,Central & Inner Metropolitan,Redfern,71.2,37,1.924324324,0.689398174,31.57346805,10269.91048,3.074366431,4579.859541,6759,5276,12035,5367,36,2518,810,380,2141,1.2,1447,1.9,1017,2540,553,598,898,470,120,296
8,2017,Central & Inner Metropolitan,Waterloo,39.67,16,2.479375,0.247333436,8.257340001,7466.699696,1.105888858,3338.545779,7702,6766,14468,6469,32,2557,690,430,1836,1.2,1184,1.9,1188,2365,569,706,924,592,154,258
9,2018,Central & Inner Metropolitan,Rosebery,196.66,88,2.234772727,1.597966225,19.20621583,3360.651265,5.715027926,1201.916257,7708,7690,15398,5507,36,2167,532,355,1362,1.3,1197,2.6,759,1488,852,658,1143,654,480,637
10,2019,Central & Inner Metropolitan,Botany,204.45,98,2.08622449,3.283082077,14.41496568,1309.261321,11.00999888,439.0680872,4399,4502,8901,2985,37,2524,698,350,1905,1.2,1626,2.8,580,887,565,446,836,378,303,317
11,2020,Central & Inner Metropolitan,Mascot,154.87,81,1.911975309,2.204081633,6.770254344,850.8788793,7.956777996,307.1689471,5102,5078,10180,3675,35,2600,677,450,1652,1.3,1481,2.6,622,1196,691,527,959,485,384,377
12,2021,Central & Inner Metropolitan,Paddington,99.47,53,1.876792453,0.864036518,9.290308105,2495.762392,3.722432926,1075.221697,6851,7387,14238,6134,35,3033,1204,495,2868,1.1,2114,2,1713,3876,406,543,1029,572,94,130
