Postcode,Suburb,total_KW,num_units,Average_KW,Unit_per_1000,Population
2007,Ultimo,6.55,4,1.6375,0.562508789,7111
2008,Chippendale,59.33,25,2.3732,3.972036861,6294
2009,Pyrmont,21.61,7,3.087142857,0.602461485,11619
2010,Surry Hills,133.04,47,2.830638298,1.850175176,25403
2011,Kings Cross,33.26,11,3.023636364,0.609823706,18038
2015,Alexandria,118.72,44,2.698181818,5.220073556,8429
2016,Redfern,71.2,37,1.924324324,3.074366431,12035
2017,Waterloo,39.67,16,2.479375,1.105888858,14468
2018,Rosebery,196.66,88,2.234772727,5.715027926,15398
2019,Botany,204.45,98,2.08622449,11.00999888,8901
2020,Mascot,154.87,81,1.911975309,7.956777996,10180
2021,Paddington,99.47,53,1.876792453,3.722432926,14238
2022,Bondi Junction,117.97,63,1.872539683,5.433376455,11595
2023,Bellevue Hill,121,36,3.361111111,3.343860301,10766
2024,Waverley,230.96,111,2.080720721,10.02076374,11077
2025,Woollahra,71.72,32,2.24125,4.456824513,7180
2026,Bondi,320.74,143,2.242937063,4.70456639,30396
2027,Edgecliff,42.16,15,2.810666667,2.05338809,7305
2028,Double Bay,42.55,13,3.273076923,2.773629187,4687
2029,Rose Bay,100.76,38,2.651578947,4.041693257,9402
2030,Vaucluse,195.4,73,2.676712329,5.246891397,13913
2031,Randwick,436.89,188,2.323882979,5.816831683,32320
2032,Kingsford,218.73,94,2.326914894,6.157877498,15265
2033,Kensington,93.84,39,2.406153846,3.55709595,10964
2034,Coogee,265.65,113,2.350884956,5.918399413,19093
2035,Pagewood,555.47,277,2.005306859,8.334837817,33234
2036,Matraville,493.7,245,2.015102041,9.109499907,26895
2037,Glebe,138.73,71,1.953943662,5.129687161,13841
2038,Annandale,184.35,92,2.003804348,10.6125274,8669
2039,Rozelle,151.84,63,2.41015873,7.955549943,7919
2040,Leichhardt,365.5,183,1.99726776,8.771088957,20864
2041,Balmain,238.81,121,1.973636364,8.202277657,14752
2042,Newtown,229.07,116,1.974741379,6.545905987,17721
2043,Erskineville,74.02,42,1.762380952,6.13317757,6848
2044,St Peters,175.84,99,1.776161616,13.76912378,7190
2045,Haberfield,95.63,43,2.223953488,6.466165414,6650
2046,Five Dock,435.1,207,2.101932367,8.221136662,25179
2047,Drummoyne,127.54,56,2.2775,4.92134634,11379
2048,Stanmore,117.49,58,2.025689655,7.530511555,7702
2049,Petersham,173.92,89,1.954157303,8.51348766,10454
2050,Camperdown,87.14,29,3.004827586,4.326421006,6703
2110,Hunters Hill,249.96,97,2.576907216,9.89291178,9805
2111,Gladesville,327.67,149,2.199127517,11.09952324,13424
2112,Ryde,715.33,355,2.015014085,12.78265879,27772
2113,North Ryde,448.58,229,1.958864629,13.6317638,16799
2114,Meadowbank,431.07,238,1.811218487,11.08110625,21478
2115,Ermington,290.37,127,2.286377953,13.41077086,9470
2116,Rydalmere,228.39,92,2.4825,14.8005148,6216
2117,Telopea,584.052,265,2.203969811,13.93416763,19018
2118,Carlingford,1166.73,575,2.029095652,26.65615873,21571
2119,Beecroft,384.86,187,2.058074866,17.152816,10902
2120,Pennant Hills,580.95,294,1.976020408,14.98089172,19625
2121,Epping,833.1,453,1.839072848,18.40042244,24619
2122,Eastwood,887.04,475,1.867452632,16.64155835,28543
2125,W. Pennant Hills,941.34,449,2.096525612,28.11873747,15968
2126,Cherrybrook,885.26,504,1.756468254,26.83991905,18778
2560,Campbelltown,3336.705,1571,2.123936983,21.74815881,72236
2565,Ingleburn,728.38,337,2.161364985,20.31834077,16586
2566,Minto,1203.42,609,1.976059113,25.32751092,24045
2567,Narellan,1590.03,723,2.199211618,21.28661858,33965
2570,Camden,1614.91,657,2.458006088,23.17950889,28344
2060,North Sydney,111.78,52,2.149615385,4.239015244,12267
2061,Milsons Point,16,6,2.666666667,1.056338028,5680
2062,Cammeray,66.54,32,2.079375,4.716981132,6784
2063,Northbridge,176.86,80,2.21075,13.48617667,5932
2064,Artarmon,127.3,48,2.652083333,5.553627213,8643
2065,Crows Nest,340.35,156,2.181730769,5.74035914,27176
2066,Lane Cove,696.97,319,2.184858934,11.54792934,27624
2067,Chatswood,371.39,182,2.040604396,8.044910047,22623
2068,Willoughby,424.36,199,2.132462312,12.5385924,15871
2069,Roseville,417.56,188,2.22106383,14.15556058,13281
2070,Lindfield,334.69,165,2.028424242,13.43867079,12278
2071,Killara,340.31,146,2.330890411,12.00657895,12160
2072,Gordon,127.03,57,2.228596491,8.64684466,6592
2073,Pymble,335.83,166,2.023072289,10.54905948,15736
2074,Turramurra,673.84,321,2.099190031,15.32658518,20944
2075,St Ives,454.38,218,2.084311927,11.69214267,18645
2076,Wahroona,574.72,290,1.981793103,12.19819971,23774
2077,Hornsby,717.81,401,1.790049875,11.49030058,34899
2079,Mount Colah,267.29,136,1.965367647,19.14144968,7105
2080,Mount Kuring-gai,82.44,39,2.113846154,24.79338843,1573
2082,Berowra Waters,320.68,152,2.109736842,26.88837785,5653
2084,Terrey Hills,255.77,85,3.009058824,24.05206565,3534
2085,Belrose,518.1,266,1.947744361,24.84124019,10708
2086,Frenchs Forest,555.92,267,2.082097378,20.23953911,13192
2087,Forestville,531.24,252,2.108095238,20.5078125,12288
2088,Mosman,445.01,183,2.431748634,6.665938149,27453
2089,Neutral Bay,29.7,14,2.121428571,1.263195886,11083
2090,Cremorne,143.36,62,2.312258065,4.760076775,13025
2092,Seaforth,253.13,114,2.220438596,16.94915254,6726
2093,Balgowlah,581.25,271,2.144833948,12.53933,21612
2095,Manly,160.3,72,2.226388889,4.777070064,15072
2096,Harbord,368.6,161,2.289440994,11.6036036,13875
2097,Collaroy,539.99,267,2.022434457,18.55713094,14388
2099,Dee Why,969.32,475,2.040673684,12.94771848,36686
2100,Brookvale,787.76,361,2.182160665,18.56709356,19443
2101,Narrabeen,637.88,295,2.162305085,16.40620655,17981
2102,Warriewood,266.91,131,2.037480916,21.31467621,6146
2103,Mona Vale,366.04,165,2.218424242,16.2305725,10166
2104,Bayview,150.27,57,2.636315789,18.42870999,3093
2106,Newport,218.54,110,1.986727273,12.17218103,9037
2107,Avalon,521.08,231,2.255757576,15.96958175,14465
2745,Mulgoa,1427.75,616,2.317775974,23.48276914,26232
2747,Kingswood,1237.535,591,2.093967851,17.25597828,34249
2749,Castlereagh,760.6,322,2.362111801,20.4146326,15773
2750,Penrith,1923.755,926,2.077489201,21.74372461,42587
2752,Silverdale,288.2,112,2.573214286,23.95209581,4676
2753,Richmond,910.49,340,2.677911765,19.90282737,17083
2754,North Richmond,392.82,131,2.998625954,24.79651713,5283
2756,Windsor,1830.525,630,2.905595238,19.5070597,32296
2758,Kurrajong,768.2,251,3.060557769,29.43245779,8528
2759,Erskine Park,1148.87,560,2.051553571,21.13207547,26500
2760,St Marys,826.975,419,1.973687351,15.50072139,27031
2761,Glendenning,1187.08,618,1.920841424,22.29195974,27723
2763,Quakers Hill,1610.765,766,2.102826371,25.66250126,29849
2765,Riverstone,822.61,297,2.76973064,20.01212856,14841
2766,Rooty Hill,602.32,296,2.034864865,20.87447109,14180
